序号  ,系统        ,专业  ,问题                                                                        ,答案                                                                                                                                                                                                                                                                    ,省份
681 ,财务-财辅档案   ,财务  ,如何查看档案系统发起流程环节？                                                           ,在档案查询-清册查询里面根据具体走的流程查询                                                                                                                                                                                                                                                ,江苏
682 ,财务-财辅预算   ,财务  ,活动预算如何调整与释放？                                                              ,先在预算管理--查询分析--活动执行查询输入活动编码查到该活动占用数，在活动预算--活动调整中在明细信息调整后金额输入大于等于该活动占用数，或者点击活动结束。                                                                                                                                                                                       ,江苏
683 ,财务-财辅资产   ,财务  ,咨询卡片信息更新提交审批人列表为空                                                         ,没有配置资产使用部门领导，走ITSM工单申请配置资产使用部门领导，注意一定要和发起卡片信息更新流程的资产保管员部门一致                                                                                                                                                                                                           ,江苏
684 ,财务-财辅资产   ,财务  ,资产卡片信息更新流程经资产会计制证失败后退回资产保管员无法删除流程                                         ,由于制证调用了SAP接口，退回资产保管员导致无法删除，资产会计制证报错之后不用退回资产保管员，直接点击页面的批量报错不同意，然后送结束即可。                                                                                                                                                                                                ,江苏
685 ,财务-财辅资产   ,财务  ,资产卡片更新导入模板时报错卡片被冻无法导入                                                     ,资产卡片正在其他流程中，到资产管理--账实信息动态同步--卡片占用查询里面查询一下在哪个流程里面，把该流程删除或者办结了                                                                                                                                                                                                          ,江苏
686 ,财务-财辅资产   ,财务  ,资产报废，卡片信息更新，调拨等流程在生成凭证时进度停止在某个数字                                          ,制证进度卡死在系统，到资产管理--账实信息动态同步--业务单据查询里面查到该单据，点击解锁主单后重新制证                                                                                                                                                                                                                  ,江苏
687 ,财务-财辅资产   ,财务  ,重复的土地房屋信息无法删除                                                             ,该房屋或者土地关联了正式的合同，先在资产终止合同然后再删除该土地房屋信息，不能删除的话再解除土地和房屋的关联关系                                                                                                                                                                                                              ,江苏
688 ,财务-财辅预算   ,财务  ,活动预算流程到哪了                                                                 ,到活动预算发起人已办，找到发起活动已办行点进去，点击右上角“流程跟踪”可查询流程。                                                                                                                                                                                                                             ,江苏
689 ,财务-财辅预算   ,财务  ,物流领料找不到活动预算                                                               ,活动预算指标和物流移动类型、评估类推导对应的指标不一致，需要按物流移动类型、评估类推导的预算指标选择相应指标的活动预算。                                                                                                                                                                                                          ,江苏
690 ,财务-财辅预算   ,财务  ,活动预算申报时选不到CW0914等指标                                                       ,CW09开头的指标在运维成本做项目立项，不在预算系统编活动预算                                                                                                                                                                                                                                       ,江苏
691 ,财务-财辅预算   ,财务  ,报账单提交报错：季度预算不足，请确认是否已下达季度预算                                               ,到预算系统查询分析-成本预算-季度指标查询-选择对应组织-选择对应账套，查询是否下达过预算，如未下达联系预算管理员下达预算                                                                                                                                                                                                         ,江苏
692 ,财务-财辅影像   ,财务  ,发票真伪结果显示“不能查询该发票[名称不匹配]”                                                  ,1.开票名称不正确或不符合要求。2.开票名称名称带有空格及其他特殊字符。3.个人票的开票名称大于4个字的，目前不能查验，请用户检查影像系统的发票行项中的发票数据是否与发票票面信息一致，如不一致请修改正确后再同步。如果发票信息正确，但同步结果仍显示名称不匹配，请到国家税务总局全国增值税发票查验平台进行发票查验。                                                                                                           ,江苏
693 ,财务-财辅影像   ,财务  ,发票真伪结果显示“查无此票”                                                            ,1.当日开具发票最快可于次日进行查验。2.每份发票每天最多可查验5次。3.可查验最近1年内增值税发票管理新系统开具的发票。请用户检查发票行项中的数据是否与发票票面信息一致，如不一致请修改正确后再同步。如果发票信息正确，但同步结果仍显示查无此票，请到国家税务总局全国增值税发票查验平台进行发票查验确认。如果在国税查询结果为“查无此票”则说明该发票信息还没有同步到国税局发票库或者可能为假发票。                                                                   ,江苏
694 ,财务-财辅资产   ,财务  ,出租合同如何选到租入房产                                                              ,在租赁待办或者合同修改工具，通过修改合同基本信息页签的“租赁类型”改为“转租”即可选到租入房产，合同改为租入房产转租合同                                                                                                                                                                                                          ,江苏
695 ,财务-财辅资产   ,财务  ,租出合同发起到归档流程咨询                                                             ,1、在合同系统中进行合同拟稿进行合同审批； 2、同步合同信息到资产系统，进入账实信息动态同步--房屋租赁管理--租赁合同代办中做合同和土地房屋的关联以及基本信息的添加修改； 3、点击提交按钮触发到合同系统中最后走完流程，完成合同归档。                                                                                                                                                 ,江苏
696 ,财务-财辅资产   ,财务  ,租入合同发起到归档流程咨询                                                             ,1、在采购系统中做采购需求，采购方案，生成采购结果，进行合同拟稿； 2、合同拟稿后触发合同系统到合同系统进行合同审批； 3、同步合同信息到资产系统，进入账实信息动态同步--房屋租赁管理--租赁合同代办中做合同和土地房屋的关联以及基本信息的添加修改； 4、点击提交按钮触发到合同系统中最后走完流程，完成合同归档。                                                                                                           ,江苏
697 ,财务-财辅资产   ,财务  ,经办人在自己账号下查不到自己做的合同，但是管理员账号却可以查到                                           ,1、查询一下合同的签订部门是否冻结，如果部门已冻结就无法查到该合同，管理员在账实信息动态同步--房屋租赁管理--租赁合同修正工具中重新选择新的部门即可； 2、如果签订部门没有冻结，那么就去主数据系统中的系统管理--对应UUV组织中查看合同签订部门和经办人部门有没有对应关系，做好UUV组织对应即可                                                                                                                  ,江苏
698 ,财务-财辅资产   ,财务  ,因关联卡片无法删除土地房屋信息：土地/房屋关联了资产卡片无法删除。                                         ,（土地房屋信息维护-对应卡片设置-房屋对应卡片设置/土地对应卡片设置）根据土地/房屋信息查询后，先通过“关联卡片操作”解除关联关系，然后再删除土地/房屋。                                                                                                                                                                                         ,江苏
699 ,财务-财辅资产   ,财务  ,资产本地网内调拨，网间调拨流程导入卡片提示不在发起人所在的成本中心。                                        ,1、检查卡片的账套是否正确，是否与发起流程一致；2、卡片在该保管员所在的成本中心，可通过卡片查询确认卡片的成本中心；3、如卡片帐套、成本中心错误，可先修改后在继续走调拨流程。                                                                                                                                                                               ,江苏
700 ,财务-财辅资产   ,财务  ,流程提交确实代办人：卡片信息更新提交审批人列表为空。                                                ,该保管员所在部门未配置资产使用部门领导，需用户走ITSM权限变更，为部门领导申请权限，注意：配置资产使用部门领导，一定要和发起卡片信息更新流程的资产保管员部门一致。                                                                                                                                                                                    ,江苏
701 ,工程-计划建设   ,工程  ,服务确认在途在哪里查                                                                ,1.计划建设系统报账管理>服务确认，到第二个页签服务确认单据查询里面进行查询 2.到物流辅助工程管理员代办中查看即可                                                                                                                                                                                                            ,江苏
702 ,工程-计划建设   ,工程  ,ICT项目在计划建设立项报错超概算预算金额                                                     ,投资概算预算中存在含税值和不含税值，计划建设取不含税值，需要在项目需求中填写不含税金额                                                                                                                                                                                                                           ,江苏
703 ,工程-计划建设   ,工程  ,常规项目工程如何开工                                                                ,设计已批复，施工委托发送协同。施工委托是框架的由外协发起开工，一事一议的由工程管理员自行发起                                                                                                                                                                                                                        ,江苏
704 ,工程-计划建设   ,工程  ,外部门户发的验收待办在计划建设看不到                                                        ,1.找外部门户供应商确认代办是否已发 2.可以在数据维护 >验收删除（协同）恢复或者协同反馈待办恢复下进行查询                                                                                                                                                                                                               ,江苏
705 ,工程-计划建设   ,工程  ,怎么发起竣工决算                                                                  ,1.建设管理-决算管理-竣工决算/转固中新增 2.在工程全景视图中右上角有竣工决算按钮，点击按钮新增                                                                                                                                                                                                                    ,江苏
706 ,工程-计划建设   ,工程  ,竣工决算提交报错资产总额和实际完成不一致。                                                     ,点击提取预分摊数据按钮后再提交。                                                                                                                                                                                                                                                      ,江苏
707 ,工程-计划建设   ,工程  ,服务确认报错账户锁定。                                                               ,竣工决算单据退回发起步骤或者删除后，发数据维护申请进行解锁。                                                                                                                                                                                                                                        ,江苏
708 ,工程-计划建设   ,工程  ,资本化利息是否占用预算？                                                              ,资本化利息不否占用预算。                                                                                                                                                                                                                                                          ,江苏
709 ,工程-计划建设   ,工程  ,预转固转固成功的资产怎么添加到正式转固的单据中？                                                  ,发起正式转固暂存后，点击实时提取SAP数据即可。                                                                                                                                                                                                                                              ,江苏
710 ,工程-计划建设   ,工程  ,完工后可以入账吗？                                                                 ,系统中可以。                                                                                                                                                                                                                                                                ,江苏
711 ,工程-计划建设   ,工程  ,外部门户发过来的服务进度确认如何退回                                                        ,在报账管理-服务确认-协同平台待服务确认单中找到勾选点批量退回的按钮                                                                                                                                                                                                                                    ,江苏
712 ,工程-计划建设   ,工程  ,项目需求发起提交提示“未取到下一步骤”                                                       ,查看预算管理单位是否填写或预算管理单位为鸿信，ict项目编码是否填写                                                                                                                                                                                                                                    ,江苏
713 ,工程-计划建设   ,工程  ,竣工决算提交报物料科目有余额错误                                                          ,项目库存在库存，若不需要联系计调转用到通用库，需要就做领料将物料领出来                                                                                                                                                                                                                                   ,江苏
714 ,工程-计划建设   ,工程  ,外协发过来的开工或完工被忽略了，如何恢复                                                      ,在数据维护-协同反馈代办恢复中找到恢复                                                                                                                                                                                                                                                   ,江苏
715 ,工程-计划建设   ,工程  ,预转固发起后资本化日期无法获取到                                                          ,"有验收：一次验收取终验实际完成日期，两次验收取初验实际完成日期，若初验或一次验收已全部做完，但是日期还无法获取，请联系运维人员处理
无验收：零购项目无验收手动填写资本化日期，无需获取
"                                                                                                                                                                        ,江苏
716 ,工程-计划建设   ,工程  ,结算审计无法选择到施工订单                                                             ,查看订单是否已经送审；查看订单关联的施工委托中的“是否结算审计”是否为“是”                                                                                                                                                                                                                                ,江苏
717 ,工程-计划建设   ,工程  ,外协发过来的服务进度确认看不到                                                           ,1.找外协确认服务确认进度确认已经发到计划建设;2.做过工程管理员变更，则到原工程管理员代办进行查找，找到后做退回协同操作，重新发服务进度确认，若没做变更，则到报账管理--服务确认--外协平台服务确认单查询；3.以上都没有则有可能已经办理，可到服务确认--服务确认单据查询中查找在途服务确认单，继续办理即可                                                                                                             ,江苏
718 ,工程-计划建设   ,工程  ,外协发过来的设计编制工程管理员看不到                                                        ,在设计编制接收人的代办查看；被忽略在数据维护-协同反馈代办恢复找到点击回复                                                                                                                                                                                                                                 ,江苏
719 ,工程-计划建设   ,工程  ,正式转固发起无法勾选工程                                                              ,预转固或结算审计流程未结束；除零购项目外工程状态一次验收需一次性验收批复后，两次验收需终验批复后；已存在正式转固单据                                                                                                                                                                                                            ,江苏
720 ,工程-计划建设   ,工程  ,竣工决算提交审批提示“施工订单未完成发票校验”                                                   ,施工费订单需要在采购辅助完成发票递交流程，状态需为财务处理完成。                                                                                                                                                                                                                                      ,江苏
721 ,工程-计划建设   ,工程  ,项目取消由谁做                                                                   ,立项管理员                                                                                                                                                                                                                                                                 ,江苏
722 ,工程-计划建设   ,工程  ,施工订单未做发票递交可以做预转固吗                                                         ,可以，不影响                                                                                                                                                                                                                                                                ,江苏
723 ,工程-计划建设   ,工程  ,设计批复提示年度预算未结转                                                             ,年结还未结束，需删除单据后等待年结结束后在操作                                                                                                                                                                                                                                               ,江苏
724 ,工程-计划建设   ,工程  ,服务确认提示总账未开账                                                               ,当月财务账期还未开启，需等待财务账期开启                                                                                                                                                                                                                                                  ,江苏
725 ,工程-计划建设   ,工程  ,工程管理员需要变动，如何处理？                                                           ,建设管理-立项管理-项目/工程信息调整进行调整。                                                                                                                                                                                                                                              ,江苏
726 ,工程-计划建设   ,工程  ,怎么添加工程管理员、合同管理员等权限？                                                       ,发集团ITSM的权限申请单进行配置。                                                                                                                                                                                                                                                    ,江苏
727 ,工程-计划建设   ,工程  ,计划建设立项金额是否含税？                                                             ,不含税。                                                                                                                                                                                                                                                                  ,江苏
728 ,工程-计划建设   ,工程  ,工程进度计划怎么调整？                                                               ,建设管理 >进度管理>工程进度计划调整进行新增。                                                                                                                                                                                                                                              ,江苏
729 ,工程-计划建设   ,工程  ,物料已经做缴料，将材料缴回项目库，但是预算没有释放                                                 ,项目库不释放预算，需要找仓管做转库操作，将项目库物料转入通用库中才能释放预算                                                                                                                                                                                                                                ,江苏
730 ,工程-计划建设   ,工程  ,施工委托是否结算审计选择错了，怎么修改？                                                      ,作废委托单重新下委托，或者发数据维护申请后台修改。                                                                                                                                                                                                                                             ,江苏
731 ,工程-计划建设   ,工程  ,竣工决算被退回，审批意见是设计费和监理费超预算。                                                  ,竣工决算单据退回发起步骤删除后，发设计变更修改设计页内容。                                                                                                                                                                                                                                         ,江苏
732 ,工程-计划建设   ,工程  ,怎么修改项目名称？                                                                 ,建设管理 >立项管理>项目/工程信息调整新增单据。                                                                                                                                                                                                                                             ,江苏
733 ,工程-计划建设   ,工程  ,结算审计提交到审计后，怎么看在谁的岗下？                                                      ,点击审计单据右上角查看审计日志按钮可以看到在谁的岗下。                                                                                                                                                                                                                                           ,江苏
734 ,工程-计划建设   ,工程  ,施工服务没有从计划建设走施工委托，直接在采购系统走的采购结果，有没有办法关联？                                   ,无法关联，需要作废订单重新从计划建设系统发施工委托，最后生成订单                                                                                                                                                                                                                                      ,江苏
735 ,工程-计划建设   ,工程  ,一个工程的物料未回单可以转移到另一个工程吗                                                     ,不可以                                                                                                                                                                                                                                                                   ,江苏
736 ,工程-计划建设   ,工程  ,服务确认提示最终指示符丢失                                                             ,服务确认行项中不可以存在第一次确认为0的服务确认                                                                                                                                                                                                                                              ,江苏
737 ,工程-计划建设   ,工程  ,如何查看工程信息                                                                  ,计划建设查询统计-项目工程信息查询-工程信息查询，进入工程全景视图查看                                                                                                                                                                                                                                   ,江苏
738 ,工程-计划建设   ,工程  ,竣工决算资产管理员或保管员选择不到怎么回事                                                     ,检查资产表中使用单位，资产管理部门，保管部门是否填写完成，若填写完成还是带不出，需要从MDM主数据中进行申请添加权限，完成后才可以进行选择                                                                                                                                                                                                 ,江苏
739 ,工程-计划建设   ,工程  ,正式转固表一实际完成为空                                                              ,点击右上角实时提取sap数据按钮                                                                                                                                                                                                                                                      ,江苏
740 ,工程-计划建设   ,工程  ,工程转固通知单中的金额与表1实际完成不一致                                                     ,在工程转固通知单中点击“从sap获取转固通知单”                                                                                                                                                                                                                                              ,江苏
741 ,工程-计划建设   ,工程  ,外部门户发到计划建设的开工，完工，验收如何退回？                                                  ,在其他代办中找到单据点击办理后，再点击“退回协同”按钮                                                                                                                                                                                                                                           ,江苏
742 ,工程-计划建设   ,工程  ,预转固什么时候可以发起                                                               ,两次验收初验批复后；一次验收终验批复后；无验收单项工程分解移交之后                                                                                                                                                                                                                                     ,江苏
743 ,工程-计划建设   ,工程  ,工程关闭可以发票递交吗？                                                              ,施工费订单需在竣工决算之前递交，其他订单没有影响                                                                                                                                                                                                                                              ,江苏
744 ,工程-计划建设   ,工程  ,工程关闭后可以开启吗？                                                               ,不允许开启。特殊情况需联系省财务，省财务同意后发itsm数据提取变更单，需提供申请人签字，部门领导和地市财务，地市财务领导的签字以及盖章。                                                                                                                                                                                                 ,江苏
745 ,工程-计划建设   ,工程  ,施工委托如何作废？                                                                 ,一事一议的到采购作废订单，解除合同，终止采购结果，退回采购需求。框架的直接在计划建设委托单上面作废委托。                                                                                                                                                                                                                  ,江苏
746 ,工程-计划建设   ,工程  ,哪些工程需要到三码做资产？                                                             ,一级专业是核心网、数据网、无线网、传输网、有线接入网、一级专业是基础设施下面二级专业是管道及杆路的项目。                                                                                                                                                                                                                  ,江苏
747 ,工程-计划建设   ,工程  ,项目分解由谁来操作？                                                                ,主项工程管理员。                                                                                                                                                                                                                                                              ,江苏
748 ,工程-计划建设   ,工程  ,项目变更的时候重立项和非重立项如何选择？                                                      ,立项金额超过原金额的10%的时候选择重立项，小于10%的时候选择非重立项。                                                                                                                                                                                                                                 ,江苏
749 ,工程-计划建设   ,工程  ,单纯购置项目和零星购置项目的区别是什么？                                                      ,单纯购置项目有验收，零星购置没有验收，零星购置项目可以多次发起预转固，无法做预转固价值调整，单纯购置只能发起一次预转固，可以做预转固价值调整                                                                                                                                                                                                ,江苏
750 ,工程-计划建设   ,工程  ,预转固可以发起多次吗                                                                ,零购项目可以发起多次，除零购外只允许发起一次                                                                                                                                                                                                                                                ,江苏
751 ,工程-计划建设   ,工程  ,如何变更单项工程总投资                                                               ,未发起设计批复的，发起项目变更调整；发起设计批复的做设计变更                                                                                                                                                                                                                                        ,江苏
752 ,工程-计划建设   ,工程  ,框架协议的委托如何删除？                                                              ,未生成订单的退回发起步骤删除即可；生成订单的直接作废订单所有明细即可                                                                                                                                                                                                                                    ,江苏
753 ,工程-计划建设   ,工程  ,项目建议发起环节如何退回删除需求单？                                                        ,审批提交点击退回需求人，退回需求人后提交审批项目需求发起后手动删除                                                                                                                                                                                                                                     ,江苏
754 ,工程-计划建设   ,工程  ,预转固或正式转固一直未归档成功，流程没有结束，该如何处理                                              ,发数据维护单给计划建设手动进行归档                                                                                                                                                                                                                                                     ,江苏
755 ,工程-计划建设   ,工程  ,固定资产折旧年限为何无法填写                                                            ,固定资产折旧年限不可填，根据固定资产目录推算出来 无形资产折旧年限可手填                                                                                                                                                                                                                                  ,江苏
756 ,工程-计划建设   ,工程  ,施工费多了一分钱，做框架订单汇总到发票递交可以通过吗                                                ,十块钱以内都可以通过                                                                                                                                                                                                                                                            ,江苏
757 ,工程-计划建设   ,工程  ,施工订单在什么情况下需要修改订单金额？                                                       ,"
施工委托订单金额小于审定金额"                                                                                                                                                                                                                                                     ,江苏
758 ,工程-计划建设   ,工程  ,走的三码交资，咨询预转固之后没有新增资产，现在正式转固还要通知oss交资吗                                     ,需要，可以在三码录入空白资产表                                                                                                                                                                                                                                                       ,江苏
759 ,工程-计划建设   ,工程  ,物资类订单没有发票校验可以竣工决算吗？                                                       ,可以。                                                                                                                                                                                                                                                                   ,江苏
760 ,工程-计划建设   ,工程  ,项目不需要了，如何取消？                                                              ,发生的费用冲销完成后，在建设管理-项目变更-项目/工程取消新增单据。                                                                                                                                                                                                                                    ,江苏
761 ,工程-计划建设   ,工程  ,框架服务类别如何设置？                                                               ,发配置类需求单进行配置。                                                                                                                                                                                                                                                          ,江苏
762 ,工程-计划建设   ,工程  ,服务确认是否只可以确认数量？                                                            ,单据不为1的时候只能确认数量，单价为1时可以确认数量、比例和金额。                                                                                                                                                                                                                                     ,江苏
763 ,工程-计划建设   ,工程  ,委托单中设计编制接收人的作用是什么                                                         ,设计编制接收人负责接收外协系统反馈的设计编制                                                                                                                                                                                                                                                ,江苏
764 ,工程-计划建设   ,工程  ,设计批复完成后，工程的总投资以哪个金额为准                                                     ,未做过设计变更的，以设计批复表单中的设计批复金额为准，做过设计变更的，以设计变更表单中的变更批复金额为准                                                                                                                                                                                                                  ,江苏
765 ,工程-计划建设   ,工程  ,点击项目分解完成会有什么影响？                                                           ,该项目将无法继续发起分解，且多余的预算会释放会总盘                                                                                                                                                                                                                                             ,江苏
766 ,工程-计划建设   ,工程  ,立项，主项，工程管理员如何调整                                                           ,可以在建设管理 >立项管理>项目/工程信息调整中进行调整                                                                                                                                                                                                                                          ,江苏
767 ,工程-计划建设   ,工程  ,"项目分解这个待办是在谁名下产生
"                                                        ,主项工程管理员                                                                                                                                                                                                                                                               ,江苏
768 ,工程-计划建设   ,工程  ,施工，设计，监理委托可以做多个吗                                                          ,施工，监理委托可以做多个，设计委托只可以做一个                                                                                                                                                                                                                                               ,江苏
769 ,工程-计划建设   ,工程  ,计划建设资本化直发现场找不到订单                                                          ,联系采购辅助推送订单；在资本性直发现场的直发现场中查看；订单不是直发现场                                                                                                                                                                                                                                  ,江苏
770 ,工程-计划建设   ,工程  ,设计订单如何审计                                                                  ,设计委托中是否结算审计为“是”，需手动发起结算审计，为“否”时工程一阶段设计批复（根据设计页表五的勘察设计页）后在工程管理员岗上产生代办，无需送审                                                                                                                                                                                             ,江苏
771 ,工程-计划建设   ,工程  ,监理订单如何审计                                                                  ,监理委托中是否结算审计为“是”，需手动发起结算审计，为“否”时工程一次验收在一次性验批复后在工程管理员岗上产生代办（根据设计页表五的监理费）；工程二次验收在初验批复后在工程管理员岗上产生代办（根据设计页表五的监理费）；无需送审                                                                                                                                                     ,江苏
